visitor_id,"visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
9de1f48e9ab2dd70d1b5b918f0b107f112cfeed7,2023-06-01 00:00:00.000,vk,cpc,prof-python,,,,,
252a09c18427a9d89dc9c514e715ca7fc39ccab6,2023-06-01 00:03:00.000,vk,cpc,base-python,,,,,
bda524147e91cbd149da877f82c1988c2bccb598,2023-06-01 00:03:00.000,vk,cpc,prof-python,,,,,
5ab49e56e75d659a4fee1e6035f2c7a8802cca61,2023-06-01 00:04:00.000,vk,cpc,prof-java,,,,,
06e57a4e586e652cc034ab9974e2750094a9fc85,2023-06-01 00:06:25.000,vk,cpc,freemium-java,,,,,
7352d2e1499ec4caeeab7a273c58952618dcfeba,2023-06-01 00:07:00.000,vk,cpc,base-python,,,,,
826a81e9eb34b6169c09e2bb1e6d49abb5c3a3e8,2023-06-01 00:08:00.000,vk,cpc,prof-java,,,,,
e7829211fdba4f7632b8029e8dcde85bf0dba819,2023-06-01 00:09:00.000,vk,cpc,prof-python,,,,,
5bb3ecdf231eba70b2847490cebe21d90434e614,2023-06-01 00:09:00.000,vk,cpc,prof-python,,,,,
662bfe80c1ae7a8d18a2d631f843875b17b7af49,2023-06-01 00:10:00.000,vk,cpc,prof-frontend,,,,,
